"","sample_city_name","sample_site_name","sample_site_code","ons_site_name","grid_reference_east","grid_reference_north","grab_compo_ind"
"473","","BOURNEMOUTH (HOLDENHURST) STW","UKENSW_WXW_TP000038","",413049,95051,"Grab"
"474","","THORNE STW","UKENNE_YW_TP000133","",467829,414641,"Grab"
"485","Greater London","Battle Road SPS","TW-BAT","",NA,NA,"Grab"
"491","Exeter","Exeter West","SWS-WES","",NA,NA,"Composite"
"493","","PENRITH STW","UKENNW_UU_TP000100","",354763,529550,"Composite"
"494","Greater London","LONDON (Long Reach STW)","UKENTH_TWU_TP000102","",555599,176701,"Grab"
"500","","HULL STW","UKENNE_YW_TP000095","HULL STW",516284,429068,"Composite"
"502","","WASHINGTON STW","UKENNE_NU_TP000055","WASHINGTON STW",432799,555701,"Composite"
"503","Bristol","Redland","WW-RED","",NA,NA,"Grab"
"506","","TOTTON, MARCHWOOD, HYTHE, CADNAM STW""","UKENSO_SW_TP000011","TOTTON, MARCHWOOD, HYTHE, CADNAM   STW""",438275,111125,"Composite"
"508","","BORDON, BORDON, HANTS STW""","UKENTH_TWU_TP000023","",480299,136201,"Grab"
"510","","DISS STW","UKENAN_AW_TP000078","",612081,279287,"Grab"
"511","Nottingham","Gelding Residual","ST-GNS","",NA,NA,"Grab"
"512","Greater London","Havering Park Farm Rd","TW-PFR","",NA,NA,"Grab"
